扫描速率（K/min）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,界面23温度（℃）,外表面温度（℃）,平均固化进度
5.0,44.624999999998536,23.04416323343806,22.120722111531386,18.340876497890044,12.260539202144619,0.42022010104254226
5.0,44.649999999998535,23.041756798685046,22.118314580629036,18.337916269939036,12.257880243147524,0.4206177503512399
5.0,44.67499999999853,23.039351137114025,22.11590657492293,18.334960900481928,12.255221653858769,0.42101538995117094
5.0,44.69999999999853,23.036946245341284,22.11349815623357,18.332008834677985,12.252563433952005,0.4214130116226287
5.0,44.72499999999853,23.034542120018525,22.111092188319425,18.329056688437877,12.249905582818542,0.4218106117246968
5.0,44.74999999999853,23.032138757784463,22.108688345681756,18.326102978447206,12.247248099908685,0.42220819614469535
5.0,44.77499999999853,23.02973615522063,22.106285062796598,18.32314895246961,12.24459098484642,0.4226057602445564
5.0,44.799999999998526,23.027334308819423,22.103891861427375,18.32019508812784,12.241934237254085,0.423003316634726
5.0,44.824999999998525,23.02493321497173,22.101496572430957,18.317241900246348,12.239277856484192,0.4234008586225121
5.0,44.84999999999852,23.02253286997873,22.099098562949326,18.314289797931757,12.236621841488578,0.42379838322306257
5.0,44.87499999999852,23.020133270086742,22.09669858657385,18.311339072973702,12.233966190944075,0.4241958867804137
5.0,44.89999999999852,23.01773441153743,22.094297050151713,18.308389896656713,12.231310903621337,0.4245933729269146
5.0,44.92499999999852,23.015336290621125,22.091894633315082,18.305440546948148,12.228655978800019,0.4249908489128464
5.0,44.94999999999852,23.012938903720652,22.08949180396013,18.302485734913336,12.226001416203214,0.42538830240848696
5.0,44.974999999998516,23.010542247336293,22.08708861467673,18.29953541857547,12.223347215554066,0.42578573314707385
5.0,44.999999999998515,23.008146318087874,22.084684992572267,18.296588147795177,12.220693376355333,0.42618314091573817
5.0,45.02499999999851,23.00575111269521,22.082280954459236,18.293638158000597,12.218039897966973,0.4265805189674142
5.0,45.04999999999851,23.003356627941745,22.079876549524094,18.290688316077155,12.215386779700458,0.4269778835039231
5.0,45.07499999999851,23.000962860628412,22.077475569368254,18.287738564590565,12.212734020768488,0.42737523552485474
5.0,45.09999999999851,22.998569807525783,22.07507602749494,18.284789204205715,12.21008162014445,0.4277725729196704
5.0,45.12499999999851,22.996177465333226,22.072682985218076,18.281840644636215,12.207429576474436,0.42816990299962554
5.0,45.149999999998506,22.993785830653987,22.070292917503302,18.278893232308842,12.204777888152602,0.4285672199063685
5.0,45.174999999998505,22.991394899993313,22.067899804757822,18.275947217637135,12.202126553590555,0.42896451789891965
5.0,45.199999999998504,22.989004669781664,22.065504560654073,18.27300273128327,12.199475571636702,0.4293617904140143
5.0,45.2249999999985,22.986615136418255,22.063107662667576,18.270056891493564,12.196824941898315,0.4297590461320844
5.0,45.2499999999985,22.984226296324206,22.06070938248521,18.26710737075534,12.194174664559515,0.4301562781529228
5.0,45.2749999999985,22.98183814599216,22.058310498531963,18.26416201478222,12.19152473990132,0.4305534957053174
5.0,45.2999999999985,22.97945068202104,22.055911262251033,18.261218525503867,12.188875168044248,0.4309506834648415
5.0,45.3249999999985,22.977063901129284,22.053511653443397,18.258272712558522,12.186225948937206,0.43134783990671083
5.0,45.349999999998495,22.974677800145408,22.051111645712485,18.255326217406804,12.18357708230634,0.43174497456638494
5.0,45.374999999998494,22.972292375979297,22.048711271678293,18.252379758508432,12.18092856744428,0.4321420970082228
5.0,45.39999999999849,22.969907625580266,22.04631055299658,18.24943393346284,12.178280402973348,0.43253920786058114
5.0,45.42499999999849,22.96752354588896,22.043912441273527,18.246489174609934,12.175632586783722,0.43293630912580156
5.0,45.44999999999849,22.96514013379041,22.04151610690229,18.243545775560943,12.172985116252251,0.4333333963373725
5.0,45.47499999999849,22.96275738607613,22.03912882599273,18.24060390502412,12.170337988714564,0.4337304701772178
5.0,45.49999999999849,22.960375299423614,22.036741180789463,18.237662614724844,12.167691202020634,0.4341275247010636
5.0,45.524999999998485,22.957993870399743,22.034350893044245,18.23471539933446,12.165044754617599,0.43452455236237836
5.0,45.549999999998484,22.955613095489348,22.031958664668558,18.23177256970299,12.16239864520034,0.43492155661104753
5.0,45.57499999999848,22.95323297114311,22.029564875722933,18.228832708155345,12.159752872504049,0.4353185390814539
5.0,45.59999999999848,22.95085349383348,22.027169848309487,18.225894965005477,12.157107435601679,0.43571549965930506
5.0,45.62499999999848,22.948474660105397,22.02477429810473,18.222953714191963,12.154462334308661,0.436112436172716
5.0,45.64999999999848,22.94609646661096,22.022378369740505,18.22001114131518,12.15181756915143,0.4365093441526477
5.0,45.67499999999848,22.94371891012217,22.01998202177834,18.217068514512803,12.149173140840038,0.43690623301383846
5.0,45.699999999998475,22.941341987521195,22.01758527086151,18.21412658796696,12.146529049607375,0.4373031119876643
5.0,45.724999999998474,22.93896569577197,22.01518815100597,18.211185817609675,12.143885294813193,0.4376999781830086
5.0,45.74999999999847,22.936590031879156,22.012790674158868,18.20824646629638,12.141241874995563,0.4380968230906803
5.0,45.77499999999847,22.93421499284154,22.010396522332616,18.20530865246185,12.138598788319056,0.43849365702627974
5.0,45.79999999999847,22.931840575607115,22.0080035672292,18.202364714272633,12.135956032820667,0.4388904653016726
5.0,45.82499999999847,22.929466777037337,22.005616975134703,18.199424010035855,12.133313606282677,0.4392872592057145
5.0,45.84999999999847,22.92709359388807,22.003232717842735,18.19648647756631,12.130671506172215,0.439684034197284
5.0,45.874999999998465,22.92472102281301,22.000845532773152,18.19355042328813,12.12802972998291,0.44008077726396155
5.0,45.899999999998464,22.922349060390673,21.998456262393876,18.19061129917825,12.125388275654503,0.44047748942123105
5.0,45.92499999999846,22.919977703169778,21.99606535345483,18.18767112220084,12.122747141615378,0.4408741774315121
5.0,45.94999999999846,22.917606947722533,21.9936735770813,18.18473103932154,12.1201063264095,0.4412708533453233
5.0,45.97499999999846,22.91523679069349,21.99128127720581,18.181791731091632,12.117465828225502,0.4416675096052129
5.0,45.99999999999846,22.912867228833694,21.988888489456965,18.178853608643283,12.114825644664561,0.44206414657035636
5.0,46.02499999999846,22.910498259014272,21.98649516839442,18.175916917761402,12.112185772891063,0.44246076468792905
5.0,46.049999999998455,22.908129878218716,21.984101362679947,18.172981763260754,12.109546210108931,0.44285736618581406
5.0,46.074999999998454,22.905762083517,21.981707117275118,18.170048175801465,12.106906954200408,0.44325395388916605
5.0,46.09999999999845,22.903394872027086,21.979313128346806,18.167107967349537,12.104268003909223,0.4436505179322235
5.0,46.12499999999845,22.901028240870474,21.976921967121008,18.1641718962644,12.101629358516108,0.44404706318815346
5.0,46.14999999999845,22.898662187128902,21.974531684947454,18.16123874771441,12.098991017558124,0.4444435805308596
5.0,46.17499999999845,22.896296707809725,21.97214951113628,18.15830322218486,12.096352980757745,0.4448400738728766
5.0,46.19999999999845,22.893931799827655,21.96976687874234,18.155366983639894,12.093715247937968,0.44523654356999076
5.0,46.224999999998445,22.89156746000837,21.967381599714567,18.15243063777084,12.091077818783138,0.44563299078317664
5.0,46.249999999998444,22.889203685114573,21.96499437937638,18.14949475917756,12.088440692544342,0.44602941991495487
5.0,46.27499999999844,22.88684047188864,21.962605625889402,18.146559785695104,12.085803867882472,0.44642583240925815
5.0,46.29999999999844,22.884477817101274,21.96021615862407,18.143626023800664,12.083167342972414,0.4468222306552034
5.0,46.32499999999844,22.882115717594402,21.957826189532433,18.14069363744787,12.080531115865886,0.447218596814858
5.0,46.34999999999844,22.879754170308967,21.95543571315883,18.137762698650263,12.077895185016537,0.44761494404345203
5.0,46.37499999999844,22.87739317229297,21.953044745567258,18.13483002221991,12.07525954966405,0.44801127758529935
