温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
15.383,1.0,17.146294451871658,8.298517780748664,5.349258890374331,,
15.417,1.0,17.83328763368984,8.573315053475936,5.486657526737968,,
15.45,1.0,18.53617219251337,8.854468877005349,5.627234438502674,,
15.485,1.0,19.2549739973262,9.141989598930481,5.770994799465241,,
15.52,1.0,19.98877580213904,9.435510320855617,5.917755160427808,,
15.553,1.0,20.737560360962565,9.735024144385028,6.067512072192514,,
15.588,1.0,21.500462165775403,10.040184866310163,6.220092433155081,,
15.621,1.0,22.27714672459893,10.350858689839573,6.3754293449197865,,
15.657,1.0,23.067057152406413,10.666822860962567,6.533411430481284,,
15.691,1.0,23.868950334224596,10.987580133689839,6.693790066844919,,
15.724,1.0,24.68253489304813,11.313013957219253,6.856506978609627,,
15.758,1.0,25.506928074866305,11.642771229946524,7.021385614973262,,
15.793,1.0,26.34092987967914,11.97637195187166,7.188185975935829,,
15.828,1.0,27.184231684491973,12.31369267379679,7.3568463368983945,,
15.86,1.0,28.03560762032085,12.654243048128341,7.527121524064171,,
15.894,1.0,28.893900802139036,12.997560320855616,7.698780160427807,,
15.928,1.0,29.758493983957216,13.343397593582889,7.871698796791444,,
15.96,1.0,30.628169919786092,13.69126796791444,8.04563398395722,,
15.996,1.0,31.501480347593585,14.040592139037436,8.220296069518717,,
16.029,1.0,32.37806490641711,14.391225962566844,8.395612981283422,,
16.064,1.0,33.25616671122995,14.742466684491982,8.571233342245991,,
16.097,1.0,34.13485127005348,15.093940508021394,8.746970254010696,,
16.131,1.0,35.01324445187166,15.445297780748664,8.922648890374331,,
16.166,1.0,35.88954625668449,15.795818502673798,9.0979092513369,,
16.199,1.0,36.76343081550801,16.145372326203205,9.272686163101604,,
16.234,1.0,37.63313262032085,16.49325304812834,9.44662652406417,,
16.266,1.0,38.49770855614973,16.839083422459893,9.619541711229946,,
16.3,1.0,39.356001737967915,17.18240069518717,9.791200347593584,,
16.334,1.0,40.20679491978609,17.52271796791444,9.961358983957219,,
16.369,1.0,41.04919672459892,17.85967868983957,10.129839344919786,,
16.401,1.0,41.8822726604278,18.192909064171122,10.29645453208556,,
16.434,1.0,42.704557219251335,18.521822887700534,10.460911443850268,,
16.47,1.0,43.51546764705882,18.846187058823528,10.623093529411765,,
16.502,1.0,44.3137435828877,19.165497433155082,10.782748716577542,,
16.536,1.0,45.09883676470588,19.479534705882354,10.939767352941178,,
16.569,1.0,45.869821323529415,19.78792852941177,11.093964264705885,,
16.603,1.0,46.6258145053476,20.090325802139038,11.24516290106952,,
16.638,1.0,47.366216310160425,20.38648652406417,11.393243262032087,,
16.67,1.0,48.0900922459893,20.67603689839572,11.53801844919786,,
16.705,1.0,48.79719405080214,20.95887762032086,11.67943881016043,,
16.738,1.0,49.48657860962567,21.23463144385027,11.817315721925135,,
16.773,1.0,50.1585804144385,21.5034321657754,11.951716082887701,,
16.806,1.0,50.81196497326203,21.764785989304812,12.082392994652407,,
16.841,1.0,51.44706677807486,22.01882671122995,12.209413355614975,,
16.873,1.0,52.06324271390373,22.265297085561496,12.332648542780749,,
16.909,1.0,52.66055314171124,22.5042212566845,12.45211062834225,,
16.94,1.0,53.239220454545446,22.73568818181818,12.567844090909091,,
16.975,1.0,53.79872225935828,22.959488903743313,12.679744451871658,,
17.01,1.0,54.33932406417113,23.175729625668453,12.787864812834227,,
17.045,1.0,54.86162586898396,23.384650347593585,12.892325173796793,,
