扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,267.5,21.283449037752497,20.748901906136826,20.21463308518369,19.330570414979448,17.21715192355192,0.5111904255850714
2.0,611.5637399999999,267.75,21.280069100813115,20.745411720885684,20.211149261586613,19.327136523124086,17.213873371109283,0.5117579768282423
2.0,611.5637399999999,268.0,21.2766887753973,20.741921016097592,20.207664887194056,19.32370209732961,17.21059435943488,0.5123256178218796
2.0,611.5637399999999,268.25,21.273308053831073,20.738429790725043,20.204179961965263,19.32026713654188,17.207314877932482,0.5128933485600419
2.0,611.5637399999999,268.5,21.26992692803374,20.73493804375454,20.200694485808366,19.316831639675193,17.204034917845036,0.5134611690493699
2.0,611.5637399999999,268.75,21.26654539004865,20.7314457741897,20.197208458592716,19.313395605631985,17.200754471980538,0.5140290793048319
2.0,611.5637399999999,269.0,21.263163432283786,20.727952981042375,20.193721880156478,19.309959033324784,17.197473534402736,0.5145970793477156
2.0,611.5637399999999,269.25,21.259781047600487,20.72445966332837,20.190234750312033,19.306521921691708,17.194192100176007,0.5151651692043897
2.0,611.5637399999999,269.5,21.256398229331218,20.720965820066212,20.186747068849986,19.30308426970567,17.190910165164194,0.515733348905424
2.0,611.5637399999999,269.75,21.25301497126498,20.717471425322465,20.183258807028743,19.299646052240366,17.187627725693527,0.5163010155566226
2.0,611.5637399999999,270.0,21.249631267495598,20.713976433406053,20.179769913873308,19.29620722504577,17.18434477604604,0.5168677010963902
2.0,611.5637399999999,270.25,21.246247111707945,20.710480842945792,20.1762803894923,19.29276778669064,17.181061305525883,0.5174344891995479
2.0,611.5637399999999,270.5,21.242862496335132,20.706984652775787,20.172790233825136,19.289327735943708,17.1777773016991,0.5180013798484495
2.0,611.5637399999999,270.75,21.239477412871086,20.70348786178579,20.169299446738155,19.285887071568766,17.174492753769826,0.5185683730529379
2.0,611.5637399999999,271.0,21.23609185261356,20.699990468888803,20.165808028047312,19.282445792310465,17.171207652817124,0.5191354688347263
2.0,611.5637399999999,271.25,21.232705807104697,20.696492473007375,20.162315977529506,19.279003896914272,17.167921991488512,0.5197026672237136
2.0,611.5637399999999,271.5,21.22931926832255,20.692993873066754,20.158823294929935,19.275561384146098,17.16463576368862,0.5202699682561441
2.0,611.5637399999999,271.75,21.225932228744757,20.68949466799215,20.155329979967313,19.272118252805445,17.16134896432549,0.5208373719734115
2.0,611.5637399999999,272.0,21.222544681353295,20.685994856708444,20.151836032337908,19.26867450173279,17.158061589110588,0.5214048784212121
2.0,611.5637399999999,272.25,21.219156619609066,20.682494333891277,20.148341332575274,19.265230028969068,17.154773633652812,0.5219713651559222
2.0,611.5637399999999,272.5,21.21576803690282,20.67899303357505,20.144845807695205,19.261784770465106,17.151485084256812,0.5225372838012822
2.0,611.5637399999999,272.75,21.212378924269995,20.675490953848545,20.14134945806059,19.25833872405126,17.14819591605531,0.5231033360630821
2.0,611.5637399999999,273.0,21.20898926922794,20.671988093152162,20.137852283724474,19.254891887799026,17.144906102656225,0.5236695218825573
2.0,611.5637399999999,273.25,21.205599057101853,20.668484450020436,20.134354284594476,19.25144425969662,17.141615621606572,0.5242358412511173
2.0,611.5637399999999,273.5,21.20220827266949,20.664980023017588,20.130855460476813,19.24799583765012,17.138324454510634,0.5248022941837225
2.0,611.5637399999999,273.75,21.1988169010729,20.661474810708192,20.127355811099427,19.244546619537054,17.13503258631429,0.5253688807117534
2.0,611.5637399999999,274.0,21.195424928213576,20.657968811642654,20.123855336127065,19.241096603253045,17.131740004628938,0.5259356008792655
2.0,611.5637399999999,274.25,21.19203234088858,20.65446202435169,20.120354035172095,19.23764578674274,17.12844669918725,0.526502454740549
2.0,611.5637399999999,274.5,21.188639126808546,20.65095446763205,20.11685193099252,19.234194187641286,17.125152661561255,0.5270679699004688
2.0,611.5637399999999,274.75,21.185245274663487,20.647446146694858,20.1133490305008,19.230741810573544,17.12185788655084,0.5276331386969992
2.0,611.5637399999999,275.0,21.18185077447652,20.643937060145895,20.109845333095326,19.22728865387742,17.11856237177535,0.5281984360022075
2.0,611.5637399999999,275.25,21.178455617652652,20.64042720653913,20.106340838186725,19.223834715952698,17.115266115772826,0.5287638619131806
2.0,611.5637399999999,275.5,21.175059796657195,20.63691658441356,20.102835545180916,19.220379995295215,17.11196911718723,0.5293294165250316
2.0,611.5637399999999,275.75,21.171663304707078,20.633405192306434,20.099329453476,19.216924490489326,17.10867137465337,0.5298950999336332
2.0,611.5637399999999,276.0,21.16826613558338,20.629893028761185,20.095822562461453,19.213468200193994,17.105372886801185,0.5304609122361199
2.0,611.5637399999999,276.25,21.164868283523436,20.62638009233262,20.0923148715181,19.210011123130325,17.102073652270565,0.5310268535310173
2.0,611.5637399999999,276.5,21.16146974315432,20.622866381590235,20.088806380018344,19.206553258071708,17.0987736697225,0.5315929239182487
2.0,611.5637399999999,276.75,21.158070509447136,20.619351887243663,20.08529707832036,19.203094596216417,17.09547293778948,0.5321590085313456
2.0,611.5637399999999,277.0,21.154670577637667,20.615836472873152,20.081786811502926,19.199635005783424,17.09217145345878,0.5327232551072556
2.0,611.5637399999999,277.25,21.15126994238505,20.61232013602971,20.078275579725602,19.19617448434658,17.088869201183652,0.5332876568608591
2.0,611.5637399999999,277.5,21.147868595247672,20.608802874820775,20.074763382732588,19.19271303002467,17.08556615802189,0.5338522137665019
2.0,611.5637399999999,277.75,21.144466524838865,20.60528468749504,20.07125022011623,19.18925064089402,17.082262303479745,0.5344169258653129
2.0,611.5637399999999,278.0,21.14106371858162,20.601765572357706,20.06773609137094,19.185787314929122,17.07895762062299,0.5349817932228367
2.0,611.5637399999999,278.25,21.137660163837634,20.598245527734683,20.06422099591799,19.182323050044708,17.07565209555933,0.5355468159203652
2.0,611.5637399999999,278.5,21.134255848433305,20.59472455195344,20.060704933120583,19.178857844143415,17.07234571683244,0.5361119940509498
2.0,611.5637399999999,278.75,21.13085076086773,20.591202643333677,20.05718790229426,19.175391695150193,17.06903847492076,0.536677327716978
2.0,611.5637399999999,279.0,21.127444890371294,20.587679800184258,20.0536699027146,19.17192460103363,17.065730361842792,0.5372428170285017
2.0,611.5637399999999,279.25,21.12403822689732,20.58415602253122,20.050150935598904,19.168456561488927,17.062421370860537,0.5378063614213522
2.0,611.5637399999999,279.5,21.12063076109401,20.580631308776585,20.046631000261158,19.16498757471189,17.05911149638052,0.5383699422382255
2.0,611.5637399999999,279.75,21.117222484289982,20.577105657214254,20.04311009588287,19.161517638860452,17.0558007337124,0.5389336781208771
2.0,611.5637399999999,280.0,21.11381338844598,20.573579066135032,20.039588221625294,19.158046752154004,17.052489078789264,0.5394975692003925
2.0,611.5637399999999,280.25,21.110403466085156,20.57005153383111,20.036065376631196,19.154574912871926,17.049176528025754,0.5400616156111012
2.0,611.5637399999999,280.5,21.10699271023279,20.566523058599333,20.032541560026676,19.15110211934966,17.04586307822745,0.5406258174902937
2.0,611.5637399999999,280.75,21.10358111436723,20.562993638743862,20.029016770922837,19.147628369974274,17.04254872652167,0.5411901749779298
2.0,611.5637399999999,281.0,21.10016867237875,20.559463272578263,20.025491008417223,19.144153663180116,17.039233470302158,0.5417546882163705
2.0,611.5637399999999,281.25,21.09675537853376,20.55593195842717,20.02196427159507,19.1406779974447,17.03591730718426,0.5423193573501492
2.0,611.5637399999999,281.5,21.093341227441503,20.552399662177983,20.018436522406166,19.137201339890883,17.032600234735376,0.5428834910583844
2.0,611.5637399999999,281.75,21.089926213861524,20.548866303802594,20.014907670719758,19.133723613178674,17.02928224720125,0.5434461231929877
2.0,611.5637399999999,282.0,21.086510331689205,20.545331880909902,20.01137771611119,19.130244814947083,17.025963330120504,0.5440089311622353
2.0,611.5637399999999,282.25,21.083093572500673,20.54179639145874,20.007846657879742,19.126764943148867,17.022643465297318,0.5445719150338544
2.0,611.5637399999999,282.5,21.079675925985992,20.538259833501325,20.004314495213404,19.123283995697953,17.019322636718204,0.5451350749196017
2.0,611.5637399999999,282.75,21.076257381186114,20.534722205127345,20.000781227225552,19.119801970442882,17.016000831082852,0.5456984109489823
2.0,611.5637399999999,283.0,21.072837927247487,20.531183504439575,19.99724685297264,19.11631886520025,17.01267803737551,0.5462619232634016
2.0,611.5637399999999,283.25,21.069417553764158,20.527643729541047,19.993711371465242,19.11283467778879,17.00935424640759,0.5468256120133437
2.0,611.5637399999999,283.5,21.065996250906377,20.524102878529156,19.990174781675805,19.10934940605316,17.006029450443393,0.5473894773566097
2.0,611.5637399999999,283.75,21.062574009449435,20.520560949494076,19.98663708254444,19.10586304787825,17.00270364290562,0.5479535194570815
2.0,611.5637399999999,284.0,21.059150820757132,20.51701791162982,19.983098239921343,19.10237557324559,16.99937681793705,0.5485153712758657
