温度（℃）,原始放热功率（W/kg）,端点线性基线（W/kg）,校正放热功率（W/kg）,固化进度
19.823,3565.7000000000003,402.20064839572194,3163.499351604278,0.5742385570436657
19.857,3583.23,402.1908756684492,3181.0391243315507,0.5689476700745867
19.89,3600.0800000000004,402.18139037433156,3197.898609625669,0.563784554651313
19.924,3616.24,402.17161764705884,3214.0683823529407,0.5584374371686628
19.956,3631.68,402.1624197860963,3229.517580213904,0.553380039125358
19.99,3646.39,402.15264705882356,3244.237352941176,0.5479813949612862
20.023,3660.3599999999997,402.1431617647059,3258.216838235294,0.5427183052551625
20.057,3673.5899999999997,402.1333890374332,3271.4566109625666,0.5372730290864172
20.089,3686.06,402.1241911764706,3283.9358088235294,0.532127877149356
20.123,3697.7799999999997,402.1144184491979,3295.665581550802,0.5266409646828139
20.154,3708.73,402.1055080213904,3306.6244919786095,0.5216209403036852
20.188,3718.9100000000003,402.0957352941177,3316.8142647058826,0.516097470639004
20.222,3728.33,402.08596256684496,3326.244037433155,0.5105576396900809
20.256,3736.97,402.0761898395722,3334.8938101604276,0.5050027317057183
20.287,3744.86,402.06727941176473,3342.792720588235,0.4999253799372862
20.322,3751.9700000000003,402.0572192513369,3349.9127807486634,0.4941799928935712
20.354,3758.33,402.04802139037434,3356.2819786096256,0.4889164802391225
20.388,3763.94,402.0382486631016,3361.9017513368985,0.483314000107987
20.421,3768.79,402.02876336898396,3366.761236631016,0.47786781688750385
20.455,3772.9,402.01899064171124,3370.881009358289,0.4722491097590295
20.489,3776.2799999999997,402.0092179144385,3374.270782085561,0.466624140211887
20.521,3778.9199999999996,402.00002005347596,3376.9199799465237,0.46132531140006855
20.555,3780.85,401.99024732620325,3378.8597526737967,0.4556914789173967
20.588,3782.06,401.9807620320856,3380.079237967914,0.4502207902850593
20.622,3782.57,401.97098930481286,3380.599010695187,0.4445828727937147
20.654,3782.3799999999997,401.9617914438503,3380.4182085561492,0.4392763314588072
20.687,3781.5,401.95230614973264,3379.5476938502675,0.43380481164356877
20.72,3779.95,401.94282085561497,3378.0071791443847,0.4283352433167544
20.753,3777.73,401.93333556149736,3375.796664438503,0.42286871107503965
20.787,3774.85,401.92356283422464,3372.9264371657755,0.4172407633130973
20.818,3771.3199999999997,401.91465240641713,3369.4053475935825,0.41211425878895175
20.853,3767.15,401.9045922459893,3365.2454077540106,0.4063328636288046
20.885,3762.34,401.89539438502675,3360.4446056149736,0.4010540496716248
20.917,3756.91,401.8861965240642,3355.023803475936,0.3957832583778773
20.952,3750.8599999999997,401.87613636363636,3348.9838636363634,0.3900281689325253
20.986,3744.2000000000003,401.86636363636364,3342.3336363636367,0.38444809329723684
21.019,3736.9500000000003,401.856878342246,3335.093121657754,0.3790433807071471
21.051,3729.0899999999997,401.8476804812834,3327.242319518716,0.3738142920568542
21.083,3720.65,401.83848262032086,3318.811517379679,0.3685979824016885
21.117,3711.63,401.82870989304814,3309.801290106952,0.3630701979522402
21.15,3702.0400000000004,401.8192245989305,3300.22077540107,0.3577200427543107
21.184,3691.8700000000003,401.80945187165776,3290.060548128343,0.3522242239946827
21.218,3681.15,401.79967914438504,3279.350320855615,0.34674580968715407
21.248,3669.8599999999997,401.79105614973264,3268.068943850267,0.34192809654229406
21.284,3658.02,401.78070855614976,3256.23929144385,0.3361672473999649
21.316,3645.6400000000003,401.7715106951872,3243.868489304813,0.3310654868953945
21.348,3632.7,401.7623128342246,3230.937687165775,0.32598358494236845
21.381,3619.23,401.752827540107,3217.477172459893,0.3207642346984923
21.413,3605.2200000000003,401.7436296791444,3203.476370320856,0.3157246002353131
21.445,3590.68,401.73443181818186,3188.945568181818,0.3107073594641691
21.479,3575.61,401.7246590909091,3173.885340909091,0.3054012179266799
21.513,3560.01,401.71488636363637,3158.295113636364,0.3001206366551048
21.546,3543.8900000000003,401.70540106951876,3142.1845989304816,0.2950210251939669
21.579,3527.25,401.6959157754011,3125.554084224599,0.2899479143385687
21.612,3510.09,401.6864304812834,3108.4035695187167,0.28490214586543666
21.645,3492.42,401.6769451871658,3090.743054812834,0.27988455345708974
21.679,3474.23,401.66717245989304,3072.562827540107,0.2747448013848039
21.711,3455.53,401.6579745989305,3053.8720254010695,0.26993632675317875
21.743,3436.3199999999997,401.6487767379679,3034.6712232620316,0.26515759222689983
21.777,3416.61,401.6390040106952,3014.970995989305,0.2601126274423323
21.811,3396.39,401.6292312834225,2994.7607687165773,0.2551009450950435
21.843,3375.68,401.6200334224599,2974.05996657754,0.250416177562977
21.876,3354.4700000000003,401.61054812834226,2952.859451871658,0.24561892599254798
