temperature_C,dsc_raw_mW_per_mg,exothermic_power_raw_W_per_kg,endpoint_linear_baseline_W_per_kg,exothermic_power_corrected_W_per_kg,solidification_progress_raw,solidification_progress_corrected,normalized_capacity_weight_per_C
15.04,-0.69718,697.1800000000001,403.5754411764706,293.6045588235295,0.9795051876641724,0.9942727182476037,0.014402647162674958
15.075,-0.71439,714.39,403.5653810160428,310.8246189839572,0.9785248634010164,0.993753842948769,0.015247369913590226
15.11,-0.73217,732.17,403.555320855615,328.614679144385,0.977520238858053,0.9932049130342561,0.016120053772860292
15.144,-0.75052,750.52,403.54554812834226,346.9744518716577,0.976519942786928,0.9926415204812277,0.017020684640573578
15.178,-0.76945,769.4499999999999,403.53577540106954,365.9142245989304,0.9754944957823434,0.9920470228005771,0.017949767162402257
15.211,-0.78895,788.95,403.5262901069519,385.42370989304817,0.9744740447557524,0.9914388894969683,0.018906796692674168
15.246,-0.80903,809.03,403.5162299465241,405.51377005347587,0.9733642602136906,0.9907599051985011,0.019892306076884605
15.281,-0.82968,829.68,403.5061697860963,426.17383021390367,0.9722261890069659,0.9900459387521902,0.020905776569449835
15.314,-0.8509,850.9,403.4966844919786,447.40331550802136,0.9711257336769683,0.9893388649692801,0.02194717997054672
15.35,-0.87268,872.6800000000001,403.48633689839573,469.19366310160433,0.9698945205583303,0.9885295259975989,0.02301609623397249
15.383,-0.89502,895.02,403.47685160427807,491.5431483957219,0.9687370184537969,0.9877519051371941,0.024112440760257727
15.417,-0.91791,917.91,403.46707887700535,514.4429211229947,0.9675139261309078,0.9869129853944139,0.025235779403288104
15.45,-0.94133,941.33,403.45759358288774,537.8724064171123,0.9662964830054722,0.9860612408368762,0.02638510287171926
15.485,-0.96528,965.28,403.4475334224599,561.8324665775401,0.9649723573557517,0.9851171936009785,0.0275604534652859
15.52,-0.98973,989.73,403.4374732620321,586.2925267379679,0.963614618286692,0.9841315798667655,0.028760331346883057
15.553,-1.01468,1014.6800000000001,403.4279879679145,611.2520120320855,0.9623021168479028,0.9831622867123165,0.02998470831668759
15.588,-1.0401,1040.1000000000001,403.41792780748665,636.6820721925135,0.9608750882985234,0.9820909913568759,0.031232169137063958
15.621,-1.06598,1065.98,403.408442513369,662.571557486631,0.9594960126452361,0.9810393748128813,0.03250216686260525
15.657,-1.0923,1092.3,403.3980949197861,688.9019050802139,0.957954278203148,0.9798460475731302,0.033793790901348104
15.691,-1.11902,1119.02,403.3883221925134,715.6316778074865,0.9564624122648874,0.9786747679821054,0.03510500857069224
15.724,-1.14613,1146.13,403.3788368983957,742.7511631016043,0.9549791764827503,0.97749435217418,0.03643534342478861
15.758,-1.1736,1173.6,403.369064171123,770.2309358288769,0.9534141717919045,0.9762326343515135,0.03778335202617851
15.793,-1.20139,1201.3899999999999,403.3590040106952,798.0309959893048,0.9517647599159417,0.9748863519276987,0.039147072191819524
15.828,-1.22949,1229.49,403.3489438502674,826.1410561497325,0.9500765328745475,0.9734920731770111,0.04052599927603945
15.86,-1.25786,1257.86,403.33974598930484,854.520254010695,0.9484971545776206,0.9721729671278574,0.041918128796061147
15.894,-1.28646,1286.46,403.3299732620321,883.1300267379679,0.9467806303549684,0.9707238922641614,0.04332156906840003
15.928,-1.31527,1315.27,403.32020053475935,911.9497994652406,0.9450253745043674,0.9692269253063694,0.044735310801711725
15.96,-1.34425,1344.25,403.3110026737968,940.9389973262032,0.9433366744146162,0.967772642515732,0.04615736361313066
15.996,-1.37335,1373.3500000000001,403.3006550802139,970.0493449197862,0.9413953982503473,0.9660852735019759,0.04758535937332319
16.029,-1.40256,1402.56,403.29116978609625,999.2688302139037,0.9395777133111635,0.9644913063765032,0.04901870883714772
16.064,-1.43182,1431.8200000000002,403.2811096256685,1028.5388903743317,0.9376092586932528,0.9627505245353352,0.05045453922959846
16.097,-1.4611,1461.1000000000001,403.2716243315508,1057.8283756684493,0.9357149548021815,0.9610618178165699,0.05189132251374727
16.131,-1.49037,1490.37,403.2618516042781,1087.1081483957219,0.9337237470345141,0.9592730956348514,0.05332762935204703
16.166,-1.51957,1519.5700000000002,403.25179144385027,1116.3182085561498,0.9316333673773637,0.9573815530829667,0.0547605164699341
16.199,-1.54869,1548.6899999999998,403.24230614973266,1145.4476938502671,0.9296242496496635,0.9555508786193513,0.05618945102191313
16.234,-1.57767,1577.6699999999998,403.23224598930483,1174.437754010695,0.9274530172181438,0.953559361169139,0.05761154613306677
16.266,-1.60648,1606.48,403.22304812834227,1203.2569518716577,0.9254311958403084,0.9516931722763453,0.059025259666555335
16.3,-1.63508,1635.0800000000002,403.21327540106955,1231.8667245989307,0.9232442789984091,0.9496624549630526,0.06042869993889422
16.334,-1.66343,1663.43,403.20350267379683,1260.2264973262031,0.9210189408673326,0.9475842291624488,0.061819876567217824
16.369,-1.6915,1691.5,403.193442513369,1288.306557486631,0.9186889683684909,0.9453964280122746,0.06319733201415592
